feature_set,model,f1,precision,recall,roc_auc,threshold,best_params
all,xgb,0.15755395683453238,0.10064338235294118,0.36258278145695366,0.7936656866932357,0.050322826573092165,"{'n_estimators': 566, 'learning_rate': 0.009523731743485059, 'max_depth': 4, 'subsample': 0.5507799018236614, 'colsample_bytree': 0.5500323510716552, 'min_child_weight': 9, 'gamma': 2.1477624303429392, 'reg_alpha': 1.9865122032823348, 'reg_lambda': 3.1293753438644023}"
all,lgbm,0.1553133514986376,0.10012775471095496,0.34602649006622516,0.7835513807932948,0.05383908373715285,"{'n_estimators': 1229, 'learning_rate': 0.00843104874375089, 'max_depth': 5, 'num_leaves': 141, 'subsample': 0.8761281991666834, 'colsample_bytree': 0.7058686742435409, 'min_child_samples': 77, 'reg_alpha': 3.043060964283018, 'reg_lambda': 2.4387947146277402}"
all,catboost,0.17112676056338028,0.12564632885211996,0.2682119205298013,0.7766293619460011,0.0671783787051207,"{'iterations': 1314, 'learning_rate': 0.010771669072269075, 'depth': 11, 'l2_leaf_reg': 3.2205929348720983, 'random_strength': 3.7872806764000893, 'bagging_temperature': 3.758067124078944}"
temporal_only,xgb,0.151617384401667,0.1183762008057019,0.2108167770419426,0.7658469252143789,0.10304780826335475,"{'n_estimators': 985, 'learning_rate': 0.03046962326285306, 'max_depth': 4, 'subsample': 0.5252662955970726, 'colsample_bytree': 0.560452930397307, 'min_child_weight': 10, 'gamma': 1.4077658162168272, 'reg_alpha': 1.6687438019146406, 'reg_lambda': 3.863873027758985}"
temporal_only,lgbm,0.16030259365994237,0.11898395721925134,0.2455849889624724,0.7871463220202977,0.0758983405724909,"{'n_estimators': 968, 'learning_rate': 0.007771467300735038, 'max_depth': 3, 'num_leaves': 32, 'subsample': 0.5366947517423613, 'colsample_bytree': 0.9707674387704488, 'min_child_samples': 51, 'reg_alpha': 0.2800468435403811, 'reg_lambda': 3.563631755638439}"
temporal_only,catboost,0.16334367154039287,0.11151441822948176,0.3051876379690949,0.7796404924888836,0.0651449357759425,"{'iterations': 1181, 'learning_rate': 0.014009285830743456, 'depth': 10, 'l2_leaf_reg': 6.323890173366877, 'random_strength': 1.9379710203198042, 'bagging_temperature': 3.4584484129292914}"
rolling_only,xgb,0.14831949925159885,0.09842875203178617,0.3007726269315673,0.7717366360933876,0.05018707407327055,"{'n_estimators': 1150, 'learning_rate': 0.014746898868282229, 'max_depth': 6, 'subsample': 0.83182911630033, 'colsample_bytree': 0.8420500672299006, 'min_child_weight': 6, 'gamma': 3.316581326330705, 'reg_alpha': 3.23055769159251, 'reg_lambda': 2.0826682199540776}"
rolling_only,lgbm,0.16235413495687467,0.10540184453227931,0.35320088300220753,0.7875653794476514,0.050418054934018575,"{'n_estimators': 235, 'learning_rate': 0.010930254344868327, 'max_depth': 7, 'num_leaves': 16, 'subsample': 0.6727881277696655, 'colsample_bytree': 0.9467210138034686, 'min_child_samples': 71, 'reg_alpha': 2.1804991678614005, 'reg_lambda': 4.0699685278891575}"
rolling_only,catboost,0.1682154670026776,0.1176989199911836,0.2947019867549669,0.7883643844909212,0.0651449357759425,"{'iterations': 1181, 'learning_rate': 0.014009285830743456, 'depth': 10, 'l2_leaf_reg': 6.323890173366877, 'random_strength': 1.9379710203198042, 'bagging_temperature': 3.4584484129292914}"
base,xgb,0.14735079535940676,0.09406016185677203,0.33995584988962474,0.7817990692099419,0.05160690018017744,"{'n_estimators': 1440, 'learning_rate': 0.00670195458395267, 'max_depth': 4, 'subsample': 0.7262929159480367, 'colsample_bytree': 0.9995957006518317, 'min_child_weight': 2, 'gamma': 3.4797791660357626, 'reg_alpha': 2.3638301655622116, 'reg_lambda': 3.5752118813111755}"
base,lgbm,0.15011805641854106,0.09687249398556536,0.3333333333333333,0.7762868750209133,0.05514564559792052,"{'n_estimators': 1438, 'learning_rate': 0.013750405929843225, 'max_depth': 3, 'num_leaves': 56, 'subsample': 0.8187608127508574, 'colsample_bytree': 0.9430816092667906, 'min_child_samples': 23, 'reg_alpha': 0.3817710274213939, 'reg_lambda': 2.347682200547725}"
base,catboost,0.15947352310988674,0.11033460398136383,0.2875275938189846,0.7824149925478315,0.06688595946772712,"{'iterations': 1149, 'learning_rate': 0.010995890162062469, 'depth': 7, 'l2_leaf_reg': 3.2205929348720983, 'random_strength': 3.888558017534705, 'bagging_temperature': 3.758067124078944}"
